GroupId,Province,Material Name,month,cur_volume,next_month,next_volume,volume_diff,Churn
ERW_A3GG2023090005,Pathum Thani,M DEL MOD 15W-40 S DEFENSE CTN 4X7L: TH,8,10752,12.0,3332.0,-7420.0,Yes
ERW_A4NT2022100001,Saraburi,M SUP EVD ProtectionTBS 15W-40 4x7L/CAR,7,8652,8.0,6636.0,-2016.0,Yes
ERW_A4NT2022100001,Saraburi,M SUP EVD ProtectionTBS 15W-40 4x7L/CAR,8,6636,10.0,3500.0,-3136.0,Yes
ERW_A4NT2022100001,Saraburi,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,7,3696,8.0,9268.0,5572.0,No
ERW_A4NT2022100001,Saraburi,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,8,9268,10.0,4368.0,-4900.0,Yes
ERW_A4NT2022100001,Saraburi,MOBIL SUPER 2000 TBS 10W-30 4X7L/CAR,1,56,6.0,4704.0,4648.0,Yes
ERW_A6CB2023080001,Saraburi,M DEL MOD 15W-40 S DEFENSE CTN 4X7L: TH,6,9464,9.0,11256.0,1792.0,No
ERW_A6CB2023080001,Saraburi,M DEL MOD 15W-40 S DEFENSE CTN 4X7L: TH,9,11256,11.0,13272.0,2016.0,No
ERW_A6CB2023080001,Saraburi,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,9,952,11.0,700.0,-252.0,Yes
ERW_A6CB2023080001,Saraburi,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,11,700,12.0,13020.0,12320.0,No
ERW_A6CB2023080002,Samut Prakan,"M1 FS X2 5W-50 (SP) V2 CTN, 4X4L CTN",7,560,10.0,6380.0,5820.0,No
ERW_A6CB2023080004,Khon Kaen,M DEL LEGEND CH-4 15W-40 H.D. CTN4X7L:TH,10,11956,12.0,13580.0,1624.0,No
ERW_A6CB2023080004,Khon Kaen,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,8,7196,10.0,4620.0,-2576.0,Yes
ERW_A6CB2023080004,Khon Kaen,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,10,4620,12.0,13216.0,8596.0,No
ERW_A6CB2023080006,Si Sa Ket,M DEL MOD 15W-40 S DEFENSE CTN 4X7L: TH,7,13496,10.0,11396.0,-2100.0,Yes
ERW_A7QF2022060006,Trat,M DEL LEGEND CH-4 15W-40 H.D. CTN4X7L:TH,10,12768,12.0,10164.0,-2604.0,Yes
ERW_A7QF2022060006,Trat,M DELVAC SUPER 1400 15W-40 CTN 4X6+1L:TH,3,7308,5.0,11508.0,4200.0,No
ERW_A7QF2022060006,Trat,M SUP EVD Protection 20W-50 4x4+1L/CAR,5,3880,10.0,1620.0,-2260.0,Yes
ERW_A7QF2022060006,Trat,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,10,12460,11.0,3724.0,-8736.0,Yes
ERW_A7QF2022060006,Trat,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,11,3724,12.0,13692.0,9968.0,No
ERW_A7QF2022060006,Trat,MOBIL SUPER 2000 TBS 10W-30 4X7L/CAR,3,1008,5.0,9828.0,8820.0,No
ERW_A8652021120006,Bangkok,M DEL MOD 15W-40 S DEFENSE CTN 4X7L: TH,6,3920,12.0,12320.0,8400.0,Yes
ERW_AAKA2023110005,Sa Kaeo,M SUP AIO PROTECTION TBS 5W-30 4X7L/CAR,11,8988,12.0,12292.0,3304.0,No
ERW_ABQ12022120001,Nakhon Ratchasima,MOBIL SUPER 2000 TBS 10W-30 4X7L/CAR,5,12460,6.0,8204.0,-4256.0,Yes
ERW_ABQ12022120002,Pathum Thani,M SUP AIO PROTECTION TBS 5W-30 4X7L/CAR,4,3304,7.0,3416.0,112.0,Yes
ERW_AD4B2023040001,Sakon Nakhon,M DEL LEGEND CH-4 15W-40 HD. 12X1L/CAR,3,1404,12.0,1452.0,48.0,Yes
ERW_AD4B2023040001,Sakon Nakhon,M DELVAC SUPER 1400 15W-40 CTN 4X6+1L:TH,3,2520,6.0,6608.0,4088.0,Yes
ERW_AD4B2023040001,Sakon Nakhon,M DELVAC SUPER 1400 15W-40 CTN 4X6+1L:TH,6,6608,9.0,5460.0,-1148.0,Yes
ERW_AD4B2023040001,Sakon Nakhon,M SUP AIO PROTECTION TBS 5W-30 12X1L/CAR,3,5892,10.0,1248.0,-4644.0,Yes
ERW_AD4B2023040001,Sakon Nakhon,M SUP AIO PROTECTION TBS 5W-30 4X7L/CAR,3,1512,6.0,11760.0,10248.0,Yes
ERW_AD4B2023040001,Sakon Nakhon,M SUP AIO PROTECTION TBS 5W-30 4X7L/CAR,6,11760,9.0,8820.0,-2940.0,Yes
ERW_AD4B2023040001,Sakon Nakhon,M SUP AIO PROTECTION TBS 5W-30 4X7L/CAR,9,8820,12.0,12712.0,3892.0,No
ERW_AD4B2023040001,Sakon Nakhon,M SUP Frict Fighter TBS 10W-30 12X1L/CAR,10,1020,12.0,5244.0,4224.0,No
ERW_AD4B2023040001,Sakon Nakhon,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,9,5516,10.0,1036.0,-4480.0,Yes
ERW_AD4B2023040001,Sakon Nakhon,M SUP Friction Fighter 10W-40 4x4+1L/CAR,6,9380,9.0,260.0,-9120.0,Yes
ERW_AD4B2023040001,Sakon Nakhon,M SUP Friction Fighter 10W-40 4x4+1L/CAR,9,260,10.0,2120.0,1860.0,No
ERW_AD4B2023040002,Bangkok,M SUP AIO Protection 5W-40 4x4+1L/CAR,5,1900,12.0,6880.0,4980.0,Yes
ERW_ADG22021040106,Samut Prakan,M SUP AIO PROTECTION TBS 5W-30 4X7L/CAR,2,11592,5.0,1596.0,-9996.0,Yes
ERW_ADG22021040106,Samut Prakan,M SUP AIO PROTECTION TBS 5W-30 4X7L/CAR,5,1596,9.0,5852.0,4256.0,Yes
ERW_ADG22021040106,Samut Prakan,M SUP AIO PROTECTION TBS 5W-30 4X7L/CAR,9,5852,12.0,5040.0,-812.0,Yes
ERW_ADG22021040106,Samut Prakan,M SUP AIO Protection 5W-40 4x4+1L/CAR,4,3440,10.0,13440.0,10000.0,No
ERW_ADG22021040106,Samut Prakan,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,5,7588,9.0,8904.0,1316.0,No
ERW_ADG22021040106,Samut Prakan,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,9,8904,12.0,2716.0,-6188.0,Yes
ERW_ADG22021040106,Samut Prakan,M SUP Friction Fighter 10W-40 4x4+1L/CAR,9,8460,10.0,2960.0,-5500.0,Yes
ERW_ADG22021040106,Samut Prakan,M1 FS X2 5W-50 4X4L (EN/TH):SG PROMO,2,2384,5.0,9840.0,7456.0,Yes
ERW_ADG22021040106,Samut Prakan,MOBIL 1 5W-30 (SP) CTN 4X4L:SG,2,496,5.0,7360.0,6864.0,Yes
ERW_ADG22021040106,Samut Prakan,"MOBIL ATF 3309 , 12x1 LT CTN",2,2784,6.0,1710.0,-1074.0,Yes
ERW_ADG22021040108,Khon Kaen,M DEL LEGEND CH-4 15W-40 H.D. PAIL 20L:TH,8,3560,12.0,3660.0,100.0,Yes
ERW_ADG22021040108,Khon Kaen,M DELVAC SUPER 1400 15W-40 CTN 4X6+1L:TH,2,6188,6.0,3584.0,-2604.0,Yes
ERW_ADG22021040108,Khon Kaen,M DELVAC SUPER 1400 15W-40 CTN 4X6+1L:TH,6,3584,8.0,10640.0,7056.0,No
ERW_ADG22021040108,Khon Kaen,M DELVAC SUPER 1400 15W-40 PAIL 18L:TH,2,1240,4.0,1340.0,100.0,No
ERW_AHWO2020120003,Chachoengsao,M DEL MOD 15W-40 S DEFENSE CTN 4X7L: TH,3,12600,6.0,13188.0,588.0,No
ERW_AHWO2020120003,Chachoengsao,M DEL MOD 15W-40 S DEFENSE CTN 4X7L: TH,6,13188,9.0,11340.0,-1848.0,Yes
ERW_AHWO2020120003,Chachoengsao,M DEL MOD 15W-40 S DEFENSE CTN 4X7L: TH,9,11340,12.0,10360.0,-980.0,Yes
ERW_AHWO2020120003,Chachoengsao,M DEL MODERN 15W-40 S DEFENS 20L/PAIL,9,7868,12.0,8500.0,632.0,Yes
ERW_AHWO2020120003,Chachoengsao,M SUP AIO PROTECTION TBS 5W-30 4X7L/CAR,5,1176,12.0,11172.0,9996.0,Yes
ERW_AHWO2020120003,Chachoengsao,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,5,10444,9.0,8428.0,-2016.0,Yes
ERW_AHWO2020120003,Chachoengsao,MOBIL DELVAC MX 15W-40 18L/PAIL,4,112,5.0,2884.0,2772.0,No
ERW_AHWO2020120008,Udon Thani,"MOBIL ATF 3309 , 12x1 LT CTN",4,3828,8.0,2748.0,-1080.0,Yes
ERW_AHWO2020120011,Khon Kaen,M DELVAC SUPER 1400 15W-40 CTN 4X6+1L:TH,2,12376,7.0,9212.0,-3164.0,Yes
ERW_AHWO2020120011,Khon Kaen,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,7,39676,10.0,2940.0,-36736.0,Yes
ERW_AI8N2021070002,Samut Prakan,M DEL MOD 15W-40 S DEFENSE CTN 4X7L: TH,9,4088,12.0,10136.0,6048.0,Yes
ERW_AI8N2021070002,Samut Prakan,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,9,2324,12.0,4620.0,2296.0,Yes
ERW_AI8N2021070007,Chanthaburi,M DEL MOD 15W-40 S DEFENSE CTN 4X7L: TH,3,4172,5.0,11340.0,7168.0,No
ERW_AI8N2021070007,Chanthaburi,M DEL MOD 15W-40 S DEFENSE CTN 4X7L: TH,5,11340,8.0,12880.0,1540.0,No
ERW_AI8N2021070007,Chanthaburi,M DEL MOD 15W-40 S DEFENSE CTN 4X7L: TH,8,12880,12.0,252.0,-12628.0,Yes
ERW_AI8N2021070007,Chanthaburi,MOBIL SUPER 2000 TBS 10W-30 4X7L/CAR,3,1484,5.0,6104.0,4620.0,No
ERW_AI8N2021070010,Bangkok,M DEL LEGEND CH-4 15W-40 HD. 12X1L/CAR,4,4320,5.0,2592.0,-1728.0,Yes
ERW_AI8N2021070010,Bangkok,M DEL LEGEND CH-4 15W-40 HD. 12X1L/CAR,5,2592,11.0,2532.0,-60.0,Yes
ERW_AI8N2021070010,Bangkok,M SUP AIO PROTECTION TBS 5W-30 4X7L/CAR,4,1904,8.0,4452.0,2548.0,Yes
ERW_AI8N2021070010,Bangkok,M SUP AIO PROTECTION TBS 5W-30 4X7L/CAR,8,4452,9.0,12460.0,8008.0,No
ERW_AI8N2021070010,Bangkok,M SUP AIO PROTECTION TBS 5W-30 4X7L/CAR,9,12460,12.0,11984.0,-476.0,Yes
ERW_AI8N2021070010,Bangkok,M SUP AIO Protection 5W-30 4x4+1L/CAR,5,14780,7.0,6040.0,-8740.0,Yes
ERW_AI8N2021070010,Bangkok,M SUP AIO Protection 5W-30 4x4+1L/CAR,7,6040,8.0,6400.0,360.0,No
ERW_AI8N2021070010,Bangkok,M SUP AIO Protection 5W-30 4x4+1L/CAR,8,6400,9.0,6960.0,560.0,No
ERW_AI8N2021070010,Bangkok,M SUP AIO Protection 5W-30 4x4+1L/CAR,9,6960,12.0,900.0,-6060.0,Yes
ERW_AI8N2021070010,Bangkok,M SUP AIO Protection 5W-40 4x4+1L/CAR,3,7900,5.0,1520.0,-6380.0,Yes
ERW_AI8N2021070010,Bangkok,M SUP AIO Protection 5W-40 4x4+1L/CAR,5,1520,7.0,7120.0,5600.0,No
ERW_AI8N2021070010,Bangkok,M SUP AIO Protection 5W-40 4x4+1L/CAR,7,7120,8.0,8720.0,1600.0,No
ERW_AI8N2021070010,Bangkok,M SUP AIO Protection 5W-40 4x4+1L/CAR,8,8720,10.0,13160.0,4440.0,No
ERW_AI8N2021070010,Bangkok,M SUP AIO Protection 5W-40 4x4+1L/CAR,10,13160,12.0,7060.0,-6100.0,Yes
ERW_AI8N2021070010,Bangkok,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,3,6888,8.0,308.0,-6580.0,Yes
ERW_AI8N2021070010,Bangkok,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,8,308,9.0,19124.0,18816.0,No
ERW_AI8N2021070010,Bangkok,"M1 FS X2 5W-50 (SP) V2 CTN, 4X4L CTN",7,2128,8.0,3568.0,1440.0,No
ERW_AI8N2021070010,Bangkok,"M1 FS X2 5W-50 (SP) V2 CTN, 4X4L CTN",8,3568,11.0,7040.0,3472.0,Yes
ERW_AI8N2021070010,Bangkok,"MOBIL 1 0W-40 (SN), 4x4LT CTN",7,896,9.0,704.0,-192.0,Yes
ERW_AI8N2021070010,Bangkok,MOBIL 1 0W-40 (SP) CTN 4X4L:SG,1,3824,5.0,3360.0,-464.0,Yes
ERW_AI8N2021070010,Bangkok,MOBIL 1 0W-40 (SP) SG 12X1L/CAR,4,3408,7.0,648.0,-2760.0,Yes
ERW_AI8N2021070010,Bangkok,MOBIL 1 0W-40 (SP) V2 12X1L/CAR,9,4404,10.0,4008.0,-396.0,Yes
ERW_AI8N2021070010,Bangkok,MOBIL 1 0W-40 (SP) V2 12X1L/CAR,10,4008,12.0,4176.0,168.0,No
ERW_AI8N2021070010,Bangkok,MOBIL 1 0W-40 (SP) V2 4X4L/CAR,9,3712,11.0,7216.0,3504.0,No
ERW_AI8N2021070010,Bangkok,MOBIL 1 5W-30 (SP) CTN 4X4L:SG,4,2752,10.0,4720.0,1968.0,Yes
ERW_AI8N2021070010,Bangkok,MOBIL 1 5W-30 (SP) CTN 4X4L:SG,10,4720,11.0,2496.0,-2224.0,Yes
ERW_AI8N2021070010,Bangkok,MOBIL 1 5W-30 CTN 12X1L (GF-6) V2:SG,7,5232,9.0,1704.0,-3528.0,Yes
ERW_AI8N2021070010,Bangkok,MOBIL 1 5W-30 CTN 12X1L (GF-6) V2:SG,9,1704,10.0,4692.0,2988.0,No
ERW_AI8N2021070010,Bangkok,MOBIL 1 5W-30 CTN 12X1L (GF-6) V2:SG,10,4692,11.0,672.0,-4020.0,Yes
ERW_AI8N2021070010,Bangkok,MOBIL 1 TBD 5W-40 12X1L/CAR,4,2988,10.0,2316.0,-672.0,Yes
ERW_AI8N2021070010,Bangkok,"MOBIL ATF 3309 , 12x1 LT CTN",8,1140,9.0,4248.0,3108.0,No
ERW_AJ0E2020120005,Chanthaburi,M DEL LEGEND CH-4 15W-40 H.D. CTN4X7L:TH,9,168,12.0,13776.0,13608.0,Yes
ERW_AJ0E2020120005,Chanthaburi,M DEL LEGEND CH-4 15W-40 H.D. PAIL 20L:TH,9,3640,11.0,9300.0,5660.0,No
ERW_AJ0E2020120005,Chanthaburi,M DEL LEGEND CH-4 15W-40 H.D. PAIL 20L:TH,11,9300,12.0,5840.0,-3460.0,Yes
ERW_AJ0E2020120005,Chanthaburi,M DELVAC SUPER 1400 15W-40 CTN 4X6+1L:TH,3,588,6.0,17892.0,17304.0,Yes
ERW_AJ0E2020120005,Chanthaburi,M DELVAC SUPER 1400 15W-40 PAIL 18L:TH,2,12366,5.0,4896.0,-7470.0,Yes
ERW_AJ0E2020120005,Chanthaburi,M-BRAKE FLUID DOT4 12X0.5L,3,276,5.0,178.0,-98.0,Yes
ERW_AJ0E2020120005,Chanthaburi,"MOBIL ATF 3309 , 12x1 LT CTN",3,3624,6.0,4164.0,540.0,Yes
ERW_AJ0E2020120005,Chanthaburi,MOBIL SUPER 2000 TBS 10W-30 4X7L/CAR,3,31920,6.0,14896.0,-17024.0,Yes
ERW_ALWN2023020001,Nakhon Nayok,MOBIL SPECIAL 20W-50 12X1L/CAR,5,5352,11.0,576.0,-4776.0,Yes
ERW_ALWN2023020002,Sing Buri,M SUP AIO PROTECTION TBS 5W-30 12X1L/CAR,4,120,6.0,1020.0,900.0,No
ERW_ALWN2023020002,Sing Buri,M SUP AIO PROTECTION TBS 5W-30 4X7L/CAR,2,3276,3.0,1820.0,-1456.0,Yes
ERW_ALWN2023020002,Sing Buri,M SUP AIO PROTECTION TBS 5W-30 4X7L/CAR,3,1820,9.0,7196.0,5376.0,Yes
ERW_ALWN2023020002,Sing Buri,M SUP AIO PROTECTION TBS 5W-30 4X7L/CAR,9,7196,12.0,12460.0,5264.0,No
ERW_ALWN2023020002,Sing Buri,M SUP AIO Protection 0W-20 4x3.5L/CAR,3,861,5.0,3038.0,2177.0,No
ERW_ALWN2023020002,Sing Buri,M SUP AIO Protection 0W-20 4x3.5L/CAR,5,3038,12.0,3241.0,203.0,No
ERW_ALWN2023020002,Sing Buri,M SUP AIO Protection 5W-30 4x4+1L/CAR,4,6300,9.0,5380.0,-920.0,Yes
ERW_ALWN2023020002,Sing Buri,M SUP AIO Protection 5W-30 4x4+1L/CAR,9,5380,12.0,3440.0,-1940.0,Yes
ERW_ALWN2023020002,Sing Buri,M SUP AIO Protection 5W-40 4x4+1L/CAR,3,13244,12.0,7800.0,-5444.0,Yes
ERW_ALWN2023020002,Sing Buri,MOBIL 1 TBD 5W-40 12X1L/CAR,4,3876,12.0,2160.0,-1716.0,Yes
ERW_ALWN2023020002,Sing Buri,MOBIL DELVAC 1640 18L/PAIL,6,7398,9.0,5980.0,-1418.0,Yes
ERW_ALWN2023020002,Sing Buri,MOBIL SUPER 2000 10W-40 (FF-TH) 12X1L:SG,9,2688,12.0,708.0,-1980.0,Yes
ERW_ALWN2023020002,Sing Buri,MOBIL SUPER 3000 5W-30 (AIO) 12X1L/CAR,2,2748,6.0,3420.0,672.0,Yes
ERW_ALWN2023020002,Sing Buri,MOBIL SUPER 3000 5W-30 (AIO) 12X1L/CAR,6,3420,12.0,2208.0,-1212.0,Yes
ERW_ALWN2023020002,Sing Buri,MOBILUBE HD 80W-90 1/18 LT,3,960,9.0,6080.0,5120.0,Yes
ERW_ALWN2023020002,Sing Buri,MOBILUBE HD 80W-90 1/18 LT,9,6080,12.0,1674.0,-4406.0,Yes
ERW_ALWN2023020002,Sing Buri,MOBILUBE HD 80W-90 4/5 LT,5,2060,9.0,6680.0,4620.0,Yes
ERW_ALWN2023020002,Sing Buri,MOBILUBE HD 85W-140 1/18 LT,1,4446,3.0,4608.0,162.0,No
ERW_ALWN2023020002,Sing Buri,MOBILUBE HD 85W-140 1/18 LT,3,4608,12.0,6408.0,1800.0,Yes
ERW_ALWN2023020006,Nong Khai,M SUP Frict Fighter TBS 10W-30 4x7L/CAR,6,6748,11.0,8232.0,1484.0,No
ERW_AMBP2020110002,Bangkok,M SUP AIO PROTECTION TBS 5W-30 4X7L/CAR,1,168,4.0,13552.0,13384.0,Yes
ERW_AMBP2020110002,Bangkok,M SUP AIO PROTECTION TBS 5W-30 4X7L/CAR,4,13552,7.0,7616.0,-5936.0,Yes
ERW_AMBP2020110002,Bangkok,M SUP AIO PROTECTION TBS 5W-30 4X7L/CAR,7,7616,11.0,9268.0,1652.0,No
ERW_AMBP2020110002,Bangkok,M SUP AIO Protection 5W-30 4x4+1L/CAR,4,6720,7.0,7600.0,880.0,No
ERW_AMBP2020110002,Bangkok,M SUP AIO Protection 5W-30 4x4+1L/CAR,7,7600,9.0,6240.0,-1360.0,Yes
ERW_AMBP2020110002,Bangkok,M SUP AIO Protection 5W-40 4x4+1L/CAR,4,8880,7.0,6020.0,-2860.0,Yes
ERW_AMBP2020110002,Bangkok,M SUP AIO Protection 5W-40 4x4+1L/CAR,7,6020,8.0,9060.0,3040.0,No
ERW_AMBP2020110002,Bangkok,M SUP AIO Protection 5W-40 4x4+1L/CAR,8,9060,10.0,2360.0,-6700.0,Yes
ERW_AMBP2020110002,Bangkok,MOBIL SUPER 3000 5W-30 CTN 4X4+1L:TH,1,1386,2.0,5724.0,4338.0,No
ERW_AMBP2020110002,Bangkok,MOBIL SUPER 3000 5W-40 CTN 4X4+1L:TH,1,7660,2.0,6380.0,-1280.0,Yes
ERW_AMBP2020110006,Bangkok,M DEL LEGEND CH-4 15W-40 HD. 12X1L/CAR,3,1524,8.0,4452.0,2928.0,Yes
ERW_AMBP2020110016,Bangkok,M SUP Friction Fighter 10W-40 4x4+1L/CAR,4,10832,9.0,10500.0,-332.0,Yes
ERW_AMBP2020110016,Bangkok,M1 FS X2 5W-50 (SP) CTN 4X4L (EN/TH):SG,1,15092,8.0,9184.0,-5908.0,Yes
ERW_AMBP2020110016,Bangkok,"M1 FS X2 5W-50 (SP) V2 CTN, 4X4L CTN",7,13916,8.0,1568.0,-12348.0,Yes
ERW_AMBP2020110016,Bangkok,"M1 FS X2 5W-50 (SP) V2 CTN, 4X4L CTN",8,1568,9.0,980.0,-588.0,Yes
ERW_AMBP2020110016,Bangkok,"M1 FS X2 5W-50 (SP) V2 CTN, 4X4L CTN",9,980,10.0,5776.0,4796.0,No
ERW_AMBP2020110016,Bangkok,"M1 FS X2 5W-50 (SP) V2 CTN, 4X4L CTN",10,5776,11.0,944.0,-4832.0,Yes
ERW_AMBP2020110016,Bangkok,"M1 FS X2 5W-50 (SP) V2 CTN, 4X4L CTN",11,944,12.0,4720.0,3776.0,No
ERW_AMBP2020110016,Bangkok,M1 FS X2 5W-50 4X4L (EN/TH):SG PROMO,2,3192,3.0,4720.0,1528.0,No
ERW_AMBP2020110016,Bangkok,M1 FS X2 5W-50 4X4L (EN/TH):SG PROMO,3,4720,4.0,7792.0,3072.0,No
ERW_AMBP2020110016,Bangkok,M1 FS X2 5W-50 4X4L (EN/TH):SG PROMO,4,7792,5.0,14000.0,6208.0,No
ERW_AMBP2020110016,Bangkok,MOBIL ATF 220 SYN TECH 12X1L/CAR,1,6128,11.0,3980.0,-2148.0,Yes
ERW_AMBP2020110030,Bangkok,M DEL LEGEND CH-4 15W-40 H.D. CTN4X7L:TH,9,9716,12.0,13328.0,3612.0,No
ERW_AMBP2020110030,Bangkok,"M DEL LEGEND CH-4 15W-40 H.D.,1X12L CTN",4,8340,6.0,5760.0,-2580.0,Yes
ERW_AMBP2020110030,Bangkok,"M DEL LEGEND CH-4 15W-40 H.D.,1X12L CTN",6,5760,9.0,13308.0,7548.0,Yes
ERW_AMBP2020110030,Bangkok,"M DEL LEGEND CH-4 15W-40 H.D.,1X12L CTN",9,13308,10.0,7974.0,-5334.0,Yes
ERW_AMBP2020110030,Bangkok,M DEL LEGEND CH-4 15W-40 HD. 12X1L/CAR,3,560,4.0,5304.0,4744.0,No
ERW_AMBP2020110030,Bangkok,M DEL LEGEND CH-4 15W-40 HD. 12X1L/CAR,4,5304,6.0,5916.0,612.0,No
ERW_AMBP2020110030,Bangkok,M DEL LEGEND CH-4 15W-40 HD. 12X1L/CAR,6,5916,8.0,4400.0,-1516.0,Yes
ERW_AMBP2020110030,Bangkok,M DEL LEGEND CH-4 15W-40 HD. 12X1L/CAR,8,4400,9.0,3380.0,-1020.0,Yes
ERW_AMBP2020110030,Bangkok,M DEL LEGEND CH-4 15W-40 HD. 12X1L/CAR,9,3380,10.0,234.0,-3146.0,Yes
ERW_AMBP2020110030,Bangkok,M DEL LEGEND CH-4 15W-40 HD. 12X1L/CAR,10,234,11.0,7956.0,7722.0,No
ERW_AMBP2020110030,Bangkok,M DEL LEGEND CH-4 15W-40 HD. 12X1L/CAR,11,7956,12.0,342.0,-7614.0,Yes
ERW_AMBP2020110030,Bangkok,M DELVAC SUPER 1400 15W-40 CTN 4X6+1L:TH,2,32620,3.0,13328.0,-19292.0,Yes
ERW_AMBP2020110030,Bangkok,M DELVAC SUPER 1400 15W-40 CTN 4X6+1L:TH,3,13328,4.0,23044.0,9716.0,No
ERW_AMBP2020110030,Bangkok,M DELVAC SUPER 1400 15W-40 CTN 4X6+1L:TH,4,23044,6.0,16212.0,-6832.0,Yes
ERW_AMBP2020110030,Bangkok,M DELVAC SUPER 1400 15W-40 CTN 4X6+1L:TH,6,16212,7.0,4592.0,-11620.0,Yes
ERW_AMBP2020110030,Bangkok,M DELVAC SUPER 1400 15W-40 CTN 4X6+1L:TH,7,4592,9.0,13384.0,8792.0,No
ERW_AMBP2020110030,Bangkok,M DELVAC SUPER 1400 15W-40 PAIL 18L:TH,1,4230,3.0,2610.0,-1620.0,Yes
ERW_AMBP2020110030,Bangkok,M DELVAC SUPER 1400 15W-40 PAIL 18L:TH,3,2610,4.0,1206.0,-1404.0,Yes
ERW_AMBP2020110030,Bangkok,M DELVAC SUPER 1400 15W-40 PAIL 18L:TH,4,1206,6.0,6732.0,5526.0,No
ERW_AMBP2020110030,Bangkok,M SUP EVD Protection 20W-50 4x4+1L/CAR,3,9240,4.0,6700.0,-2540.0,Yes
ERW_AMBP2020110030,Bangkok,M SUP EVD Protection 20W-50 4x4+1L/CAR,4,6700,7.0,2220.0,-4480.0,Yes
ERW_AMBP2020110030,Bangkok,M SUP EVD Protection 20W-50 4x4+1L/CAR,7,2220,10.0,7840.0,5620.0,Yes
ERW_AMBP2020110030,Bangkok,M SUP EVD Protection 20W-50 4x4+1L/CAR,10,7840,11.0,9100.0,1260.0,No
