Invoicedate,Distributor,GroupId,Type,Province,MatNo,Material Name,New_Volume(L),Points,quarter,Churn,Region
2023-03-24,C,ERW_C08P2020090063,Retails,Phichit,134348,M-BRAKE FLUID DOT4 12X0.5L,415,1,1,Yes,Central
2023-07-21,C,ERW_C08P2020090094,Retails,Phetchabun,134348,M-BRAKE FLUID DOT4 12X0.5L,161,1,3,Yes,Central
2023-04-05,C,ERW_C08P2020090094,Retails,Phetchabun,134348,M-BRAKE FLUID DOT4 12X0.5L,433,1,2,Yes,Central
2023-12-02,C,ERW_C08P2020090094,Retails,Phetchabun,134348,M-BRAKE FLUID DOT4 12X0.5L,237,1,4,Yes,Central
2023-01-19,C,ERW_C08P2020090094,Retails,Phetchabun,134348,M-BRAKE FLUID DOT4 12X0.5L,354,1,1,Yes,Central
2023-05-30,C,ERW_C08P2020090094,Retails,Phetchabun,134348,M-BRAKE FLUID DOT4 12X0.5L,253,1,2,Yes,Central
2023-09-06,C,ERW_C08P2020090105,Retails,Phetchabun,134348,M-BRAKE FLUID DOT4 12X0.5L,278,1,3,Yes,Central
2023-07-05,C,ERW_C08P2020090108,Retails,Sukhothai,134348,M-BRAKE FLUID DOT4 12X0.5L,159,1,3,Yes,Central
2023-11-14,C,ERW_C08P2020090138,Retails,Lamphun,134348,M-BRAKE FLUID DOT4 12X0.5L,337,1,4,No,Northern
2023-09-26,C,ERW_C08P2020090138,Retails,Lamphun,134348,M-BRAKE FLUID DOT4 12X0.5L,79,1,3,No,Northern
2023-03-02,C,ERW_C9H62020120016,Retails,Chiang Mai,134348,M-BRAKE FLUID DOT4 12X0.5L,223,1,1,Yes,Northern
2023-10-26,C,ERW_C9H62020120016,Retails,Chiang Mai,134348,M-BRAKE FLUID DOT4 12X0.5L,125,1,4,Yes,Northern
2023-08-05,C,ERW_CA7Y2022040001,Retails,Phitsanulok,134348,M-BRAKE FLUID DOT4 12X0.5L,475,1,3,Yes,Central
2023-02-06,C,ERW_CET92022080001,Retails,Uttaradit,134348,M-BRAKE FLUID DOT4 12X0.5L,217,1,1,Yes,Northern
2023-04-03,C,ERW_CXLT2023040001,Retails,Phitsanulok,134348,M-BRAKE FLUID DOT4 12X0.5L,200,1,2,No,Central
2023-08-31,C,ERW_CXLT2023040001,Retails,Phitsanulok,134348,M-BRAKE FLUID DOT4 12X0.5L,244,1,3,No,Central
2023-11-29,A,ERW_AMBP2020110079,Retails,Bangkok,134348,M-BRAKE FLUID DOT4 12X0.5L,4482,1,4,No,Central
2023-03-14,A,ERW_AMBP2020110030,Retails,Bangkok,134348,M-BRAKE FLUID DOT4 12X0.5L,705,1,1,Yes,Central
2023-09-18,A,ERW_AMBP2020110030,Retails,Bangkok,134348,M-BRAKE FLUID DOT4 12X0.5L,445,1,3,Yes,Central
2023-07-06,A,ERW_AMBP2020110030,Retails,Bangkok,134348,M-BRAKE FLUID DOT4 12X0.5L,2208,1,3,Yes,Central
2023-12-12,A,ERW_AMBP2020110030,Retails,Bangkok,134348,M-BRAKE FLUID DOT4 12X0.5L,84,1,4,Yes,Central
2023-09-12,A,ERW_AMBP2020110030,Retails,Bangkok,134348,M-BRAKE FLUID DOT4 12X0.5L,1260,1,3,Yes,Central
2023-08-04,A,ERW_AMBP2020110079,Retails,Bangkok,134348,M-BRAKE FLUID DOT4 12X0.5L,4140,1,3,No,Central
2023-04-26,A,ERW_A3BM2023050001,Retails,Nonthaburi,134348,M-BRAKE FLUID DOT4 12X0.5L,47,1,2,Yes,Central
2023-10-09,A,ERW_AI8N2021070010,Retails,Bangkok,134348,M-BRAKE FLUID DOT4 12X0.5L,485,1,4,No,Central
2023-05-17,A,ERW_AJ0E2020120005,Reseller,Chanthaburi,134348,M-BRAKE FLUID DOT4 12X0.5L,178,1,2,Yes,Eastern
2023-03-28,A,ERW_AJ0E2020120005,Reseller,Chanthaburi,134348,M-BRAKE FLUID DOT4 12X0.5L,276,1,1,Yes,Eastern
2023-11-14,A,ERW_AMBP2020110079,Retails,Bangkok,134348,M-BRAKE FLUID DOT4 12X0.5L,399,1,4,No,Central
2023-11-20,A,ERW_AMBP2020110079,Retails,Bangkok,134348,M-BRAKE FLUID DOT4 12X0.5L,192,1,4,No,Central
2023-07-04,A,ERW_AMBP2020110097,Retails,Nonthaburi,134348,M-BRAKE FLUID DOT4 12X0.5L,119,1,3,Yes,Central
2023-05-25,A,ERW_AMBP2020110097,Retails,Nonthaburi,134348,M-BRAKE FLUID DOT4 12X0.5L,204,1,2,Yes,Central
2023-06-02,A,ERW_AMBP2020110101,Retails,Nonthaburi,134348,M-BRAKE FLUID DOT4 12X0.5L,134,1,2,Yes,Central
2023-06-06,A,ERW_AMBP2020110291,Reseller,Nakhon Ratchasima,134348,M-BRAKE FLUID DOT4 12X0.5L,439,1,2,Yes,Northeastern
2023-05-25,A,ERW_AMBP2020110299,Retails,Lop Buri,134348,M-BRAKE FLUID DOT4 12X0.5L,322,1,2,Yes,Central
2023-07-07,A,ERW_AUTN2021110008,Retails,Nakhon Ratchasima,134348,M-BRAKE FLUID DOT4 12X0.5L,85,1,3,No,Northeastern
2023-06-06,A,ERW_AUTN2021110008,Retails,Nakhon Ratchasima,134348,M-BRAKE FLUID DOT4 12X0.5L,169,1,2,No,Northeastern
2023-01-09,A,ERW_AMBP2020110030,Retails,Bangkok,134348,M-BRAKE FLUID DOT4 12X0.5L,2395,1,1,Yes,Central
2023-01-11,A,ERW_AI8N2021070001,Retails,Samut Prakan,134348,M-BRAKE FLUID DOT4 12X0.5L,4068,1,1,Yes,Central
2023-01-16,A,ERW_AUTN2021110008,Retails,Nakhon Ratchasima,134348,M-BRAKE FLUID DOT4 12X0.5L,51,1,1,No,Northeastern
2023-02-25,D,ERW_DBG72020110082,Reseller,Songkhla,134348,M-BRAKE FLUID DOT4 12X0.5L,2700,1,1,Yes,Southern
2023-02-17,A,ERW_AMBP2020110030,Retails,Bangkok,134348,M-BRAKE FLUID DOT4 12X0.5L,5700,1,1,Yes,Central
2023-02-21,A,ERW_AMBP2020110030,Retails,Bangkok,134348,M-BRAKE FLUID DOT4 12X0.5L,5784,1,1,Yes,Central
2023-02-20,A,ERW_AMBP2020110030,Retails,Bangkok,134348,M-BRAKE FLUID DOT4 12X0.5L,1980,1,1,Yes,Central
2023-10-09,D,ERW_DBG72020110011,Retails,Surat Thani,134348,M-BRAKE FLUID DOT4 12X0.5L,396,1,4,Yes,Southern
2023-08-10,D,ERW_DBG72020110011,Retails,Surat Thani,134348,M-BRAKE FLUID DOT4 12X0.5L,2976,1,3,Yes,Southern
2023-05-05,D,ERW_DBG72020110082,Reseller,Songkhla,134348,M-BRAKE FLUID DOT4 12X0.5L,5232,1,2,Yes,Southern
2023-02-24,A,ERW_AMBP2020110079,Retails,Bangkok,134348,M-BRAKE FLUID DOT4 12X0.5L,238,1,1,No,Central
2023-11-11,D,ERW_DBG72020110014,Retails,Pattani,134348,M-BRAKE FLUID DOT4 12X0.5L,150,1,4,Yes,Southern
2023-09-23,D,ERW_DBG72020110014,Retails,Pattani,134348,M-BRAKE FLUID DOT4 12X0.5L,447,1,3,Yes,Southern
2023-12-19,D,ERW_DBG72020110036,Retails,Songkhla,134348,M-BRAKE FLUID DOT4 12X0.5L,123,1,4,No,Southern
2023-07-18,D,ERW_DBG72020110082,Reseller,Songkhla,134348,M-BRAKE FLUID DOT4 12X0.5L,360,1,3,Yes,Southern
2023-09-06,D,ERW_DGVG2021110003,Reseller,Phangnga,134348,M-BRAKE FLUID DOT4 12X0.5L,98,1,3,Yes,Southern
2023-03-07,B,ERW_BM2U2020110093,Retails,Kanchanaburi,134349,M-BRAKE FLUID DOT4 12X1L,738,1,1,Yes,Western
2023-02-08,B,ERW_BM2U2020110093,Retails,Kanchanaburi,134349,M-BRAKE FLUID DOT4 12X1L,5664,1,1,Yes,Western
2023-05-12,B,ERW_BM2U2020110093,Retails,Kanchanaburi,134349,M-BRAKE FLUID DOT4 12X1L,4884,1,2,Yes,Western
2023-08-22,B,ERW_BM2U2020110093,Retails,Kanchanaburi,134349,M-BRAKE FLUID DOT4 12X1L,3576,1,3,Yes,Western
2023-10-11,B,ERW_BM2U2020110093,Retails,Kanchanaburi,134349,M-BRAKE FLUID DOT4 12X1L,4500,1,4,Yes,Western
2023-07-04,B,ERW_BM2U2020110093,Retails,Kanchanaburi,134349,M-BRAKE FLUID DOT4 12X1L,2376,1,3,Yes,Western
2023-11-02,B,ERW_BM2U2020110122,Retails,Nakhon Pathom,134349,M-BRAKE FLUID DOT4 12X1L,3696,1,4,Yes,Central
2023-04-08,B,ERW_BM2U2020110122,Retails,Nakhon Pathom,134349,M-BRAKE FLUID DOT4 12X1L,3924,1,2,Yes,Central
2023-10-09,B,ERW_BM2U2020110149,Retails,Nakhon Pathom,134349,M-BRAKE FLUID DOT4 12X1L,3816,1,4,No,Central
2023-12-28,B,ERW_BM2U2020110149,Retails,Nakhon Pathom,134349,M-BRAKE FLUID DOT4 12X1L,5148,1,4,No,Central
2023-11-01,C,ERW_C08P2020090044,Retails,Tak,134349,M-BRAKE FLUID DOT4 12X1L,4776,1,4,No,Western
2023-06-20,C,ERW_C08P2020090063,Retails,Phichit,134349,M-BRAKE FLUID DOT4 12X1L,3504,1,2,Yes,Central
2023-03-24,C,ERW_C08P2020090063,Retails,Phichit,134349,M-BRAKE FLUID DOT4 12X1L,684,1,1,Yes,Central
2023-01-12,C,ERW_C08P2020090063,Retails,Phichit,134349,M-BRAKE FLUID DOT4 12X1L,3648,1,1,Yes,Central
2023-07-05,C,ERW_C08P2020090108,Retails,Sukhothai,134349,M-BRAKE FLUID DOT4 12X1L,2256,1,3,Yes,Central
2023-06-21,C,ERW_C08P2020090044,Retails,Tak,134349,M-BRAKE FLUID DOT4 12X1L,4572,1,2,No,Western
2023-01-06,C,ERW_C08P2020090044,Retails,Tak,134349,M-BRAKE FLUID DOT4 12X1L,2640,1,1,No,Western
2023-09-21,A,ERW_AMBP2020110142,Reseller,Saraburi,134349,M-BRAKE FLUID DOT4 12X1L,1840,1,3,Yes,Central
2023-03-20,A,ERW_AMBP2020110030,Retails,Bangkok,134349,M-BRAKE FLUID DOT4 12X1L,4360,1,1,Yes,Central
2023-09-18,A,ERW_AMBP2020110030,Retails,Bangkok,134349,M-BRAKE FLUID DOT4 12X1L,6060,1,3,Yes,Central
2023-06-29,A,ERW_AMBP2020110142,Reseller,Saraburi,134349,M-BRAKE FLUID DOT4 12X1L,5480,1,2,Yes,Central
2023-08-10,A,ERW_AMBP2020110142,Reseller,Saraburi,134349,M-BRAKE FLUID DOT4 12X1L,2880,1,3,Yes,Central
2023-11-03,A,ERW_AMBP2020110743,Reseller,Udon Thani,134349,M-BRAKE FLUID DOT4 12X1L,6000,1,4,No,Northeastern
2023-07-24,A,ERW_AMBP2020110743,Reseller,Udon Thani,134349,M-BRAKE FLUID DOT4 12X1L,4452,1,3,No,Northeastern
2023-07-06,A,ERW_AMBP2020110030,Retails,Bangkok,134349,M-BRAKE FLUID DOT4 12X1L,4968,1,3,Yes,Central
2023-08-30,A,ERW_AMBP2020110030,Retails,Bangkok,134349,M-BRAKE FLUID DOT4 12X1L,4308,1,3,Yes,Central
2023-11-21,A,ERW_AMBP2020110030,Retails,Bangkok,134349,M-BRAKE FLUID DOT4 12X1L,2856,1,4,Yes,Central
2023-11-22,A,ERW_AMBP2020110030,Retails,Bangkok,134349,M-BRAKE FLUID DOT4 12X1L,5244,1,4,Yes,Central
2023-03-30,A,ERW_AMBP2020110142,Reseller,Saraburi,134349,M-BRAKE FLUID DOT4 12X1L,2928,1,1,Yes,Central
2023-11-16,A,ERW_AMBP2020110299,Retails,Lop Buri,134349,M-BRAKE FLUID DOT4 12X1L,132,1,4,Yes,Central
2023-03-07,A,ERW_AUOF2022100001,Retails,Bangkok,134349,M-BRAKE FLUID DOT4 12X1L,180,1,1,Yes,Central
2023-03-15,A,ERW_AUOF2022100001,Retails,Bangkok,134349,M-BRAKE FLUID DOT4 12X1L,72,1,1,Yes,Central
2023-11-20,A,ERW_AMBP2020110156,Retails,Chon Buri,134349,M-BRAKE FLUID DOT4 12X1L,3792,1,4,No,Eastern
2023-05-12,A,ERW_AUTN2021110008,Retails,Nakhon Ratchasima,134349,M-BRAKE FLUID DOT4 12X1L,5280,1,2,Yes,Northeastern
2023-01-11,A,ERW_AMBP2020110030,Retails,Bangkok,134349,M-BRAKE FLUID DOT4 12X1L,9500,1,1,Yes,Central
2023-01-25,A,ERW_AMBP2020110299,Retails,Lop Buri,134349,M-BRAKE FLUID DOT4 12X1L,1140,1,1,Yes,Central
2023-02-14,A,ERW_AMBP2020110142,Reseller,Saraburi,134349,M-BRAKE FLUID DOT4 12X1L,9560,1,1,Yes,Central
2023-07-18,D,ERW_DBG72020110082,Reseller,Songkhla,134349,M-BRAKE FLUID DOT4 12X1L,7632,1,3,No,Southern
2023-02-14,A,ERW_AMBP2020110142,Reseller,Saraburi,134349,M-BRAKE FLUID DOT4 12X1L,3834,1,1,Yes,Central
2023-02-25,D,ERW_DBG72020110082,Reseller,Songkhla,134349,M-BRAKE FLUID DOT4 12X1L,288,1,1,No,Southern
2023-10-12,D,ERW_DBG72020110082,Reseller,Songkhla,134349,M-BRAKE FLUID DOT4 12X1L,5058,1,4,No,Southern
2023-02-17,A,ERW_AMBP2020110030,Retails,Bangkok,134349,M-BRAKE FLUID DOT4 12X1L,492,1,1,Yes,Central
2023-02-21,A,ERW_AMBP2020110030,Retails,Bangkok,134349,M-BRAKE FLUID DOT4 12X1L,2700,1,1,Yes,Central
2023-02-20,A,ERW_AMBP2020110030,Retails,Bangkok,134349,M-BRAKE FLUID DOT4 12X1L,5424,1,1,Yes,Central
2023-05-09,D,ERW_DBG72020110038,Reseller,Phuket,134349,M-BRAKE FLUID DOT4 12X1L,3900,1,2,No,Southern
2023-09-29,D,ERW_DBG72020110038,Reseller,Phuket,134349,M-BRAKE FLUID DOT4 12X1L,1716,1,3,No,Southern
2023-04-20,D,ERW_DBG72020110082,Reseller,Songkhla,134349,M-BRAKE FLUID DOT4 12X1L,3780,1,2,No,Southern
2023-06-26,D,ERW_DBG72020110038,Reseller,Phuket,134349,M-BRAKE FLUID DOT4 12X1L,840,1,2,No,Southern
2023-04-11,D,ERW_DBG72020110038,Reseller,Phuket,134349,M-BRAKE FLUID DOT4 12X1L,4620,1,2,No,Southern
2023-02-17,D,ERW_DBG72020110038,Reseller,Phuket,134349,M-BRAKE FLUID DOT4 12X1L,276,1,1,No,Southern
2023-01-27,D,ERW_DBG72020110038,Reseller,Phuket,134349,M-BRAKE FLUID DOT4 12X1L,2280,1,1,No,Southern
2023-11-29,D,ERW_DBG72020110038,Reseller,Phuket,134349,M-BRAKE FLUID DOT4 12X1L,2868,1,4,No,Southern
2023-12-06,D,ERW_DBG72020110038,Reseller,Phuket,134349,M-BRAKE FLUID DOT4 12X1L,1200,1,4,No,Southern
2023-10-18,D,ERW_DBG72020110134,Retails,Nakhon Si Thammarat,134349,M-BRAKE FLUID DOT4 12X1L,108,1,4,No,Southern
2023-01-06,B,ERW_BM2U2020110030,Reseller,Ratchaburi,134523,"MOBIL DELVAC 1340, 12X1LT CTN",1380,1,1,No,Western
2023-03-22,B,ERW_BM2U2020110030,Reseller,Ratchaburi,134523,"MOBIL DELVAC 1340, 12X1LT CTN",384,1,1,No,Western
2023-07-06,B,ERW_BM2U2020110030,Reseller,Ratchaburi,134523,"MOBIL DELVAC 1340, 12X1LT CTN",1824,1,3,No,Western
2023-03-01,B,ERW_BM2U2020110036,Reseller,Ratchaburi,134523,"MOBIL DELVAC 1340, 12X1LT CTN",420,1,1,Yes,Western
2023-07-04,B,ERW_BM2U2020110093,Retails,Kanchanaburi,134523,"MOBIL DELVAC 1340, 12X1LT CTN",612,1,3,Yes,Western
2023-03-07,B,ERW_BM2U2020110093,Retails,Kanchanaburi,134523,"MOBIL DELVAC 1340, 12X1LT CTN",4440,1,1,Yes,Western
2023-09-15,C,ERW_C08P2020090185,Retails,Kamphaeng Phet,134523,"MOBIL DELVAC 1340, 12X1LT CTN",2496,1,3,Yes,Central
2023-09-08,C,ERW_C08P2020090105,Retails,Phetchabun,134523,"MOBIL DELVAC 1340, 12X1LT CTN",279,1,3,Yes,Central
2023-07-18,D,ERW_DBG72020110082,Reseller,Songkhla,134525,MOBIL DELVAC 1340 1/18 LT,5940,1,3,No,Southern
2023-03-29,D,ERW_DBG72020110082,Reseller,Songkhla,134525,MOBIL DELVAC 1340 1/18 LT,54,1,1,No,Southern
2023-08-23,C,ERW_C08P2020090012,Reseller,Kamphaeng Phet,134525,MOBIL DELVAC 1340 1/18 LT,7920,1,3,Yes,Central
2023-07-22,C,ERW_CQ932021100002,Retails,Phayao,134525,MOBIL DELVAC 1340 1/18 LT,7236,1,3,Yes,Northern
